restaurant_id,rating,comment,created_at
1,4.3,군자역 카페로 분위기도 좋고 커피도 맛있었어요.웨이팅 했지만 웨이팅 할 만한 가치가 있어요ㅎㅎ 다음에 또 방문하고 싶은 군자역 카페예요. 보니밤 진짜 달달구리,2025-03-03
1,4.3,오래간만에 다시 찾아왔는데 푸근한 공간이 인상적입니다. 커피도 고소하고 맛있어요. 겨울에 보늬밤을 먹을 수 있는 것도 좋습니다,2025-02-27
1,4.3,여기 안 살지만 근처 지나가다가 왔어요. 비도 오는데 공간이 아늑하고 다 먹고 나왔을 때 또 가고 싶은 곳이다라는 생각이 들었습니다. 근데 밤티라미수인데 밤맛은 잘 모르겠지만 여튼 맛있어요 뭔가 살갑게 스몰토크하는 카페 부담스러워서 질색인데 여기는 무심한듯 친절한 차분함이 넘 맘에 들어요 . 담에 또 갈래 !!!,2025-03-02
1,4.3,내부공간이 좁은 편이지만 아늑하고 조용한 분위기에 집중하기 좋아요 책 가지고 오셔서 보시는 분들이 많더라구요 저도 다음엔 책 가지고 다시 오고 싶어요 커피와 분위기를 즐기기 좋은 곳,2025-02-13
1,4.3,"내려주신 커피도, 머무는 공간도, 안에 계신 손님들의 에티튜드도 모두 단정하고 고요해서 좋았습니다 다음에 온전히 책 읽으러 한번 더 방문할게요!",2025-01-28
2,4.2,두번째 방문인데 제 아지트로 삼고 싶은 공간입니다..♡ 요거트와 커피 시켜서 2층 창가 자리에 앉으면 힐링 그 자체예요 ㅎㅎ 인테리어와 공간 분위기도 느좋입니다,2025-03-28
2,4.2,보난자카페는 제가 여러 번 찾은 단골 카페예요^^ 시그니처 커피가 정말 맛있어서 한 번 드셔보시면 그 매력에 푹 빠지실 거예요,2025-03-06
2,4.2,테니스치고 보난자 커피에 들렸어요. 날씨가 따뜻해지니 야외테이블에 앉아서 멍때리기 좋아요. 커피랑 디저트 맛있어서 종종 옵니다. 원두가 시큼해요.,2025-04-04
2,4.2,서울라떼랑 아아랑 레몬크림치즈베이글 먹었는데 맛있네용 매장도 짱 넓구 근데 가격이 좀 비싸네용 ㅠㅠ히히 그래도 너무 맛있었어요 특히 서울라떼!,2025-03-28
2,4.2,서울 커피 추천을 보고 시켜봤는데 엄청 고소하고 맛있어요! 디카페인 변경이 무료라서 커피를 못 마셔도 쉽게 마셔볼 수 있었어요 ㅎㅎ,2025-04-16
3,4.9,갈 때마다 매장직원분 넘 친절하셔요.. 아빠께서 달달한 디저트류를 좋아하시긴 하지만 처음으로 또 가자고 그 카페 빵 맛있다고 하신 곳이에요!!,2025-04-18
3,4.9,뚝섬역 매장 때 부터 좋아하던 크루아상 맛집입니다. 사실 다 맛있지만 추천메뉴는 플레인 크루아상과 쁘띠갸또 입니다.,2025-03-05
3,4.9,"우연히 발견해서 들어왔는데 분위기 완전 취향저격입니다,, 계산할때 보니까 엄청 멀리서 일부러 온 손님도 계시던데.. 빵이 맛있어서 그런지 빵 포장 손님들 많이 왔다가시더라구요!",2025-03-20
3,4.9,역시 비오는 날에는 크루아상! 지난 번 같이 일하는 선임분께 추천받은 아무르도 집에 가서 먹으려고 함께 포장 !!!,2025-04-05
3,4.9,"작은 매장인데 알차게 이쁘게 인테리어가 되어있고 종류도 너무 많아서 고르기 힘들었어요,,",2025-04-28
3,4.9,편안하게 커피랑 디저트 즐기기 좋아요! 상큼하고 고급스러운 맛이 봄같아 기분 좋아져요!,2025-04-18
4,4.4,"근처왔다가 처음 방문했는데 분위기도, 커피맛도, 디저트도 너무 훌륭하네요! 기대 이상이고 나긋한 분위기도 맘에 듭니다:)",2025-04-12
4,4.4,"카페가 너무 예뻐요.. ♡ 치즈케이크, 커피도 맛있구 공간이 너무 아늑해서 집중하기 좋은 곳이었구 직원 분들도 친절하세요!",2025-05-06
4,4.4,골목을 돌아 들어가면 갑자기 보이는 카페 외관이 갬성갬성하고 넘 예뻐여,2025-04-20
4,4.4,"군자 최고의 카페! 분위기 최고예요!!! 조용히 수다떨기도 좋고, 여유롭게 혼자서 책 읽고 작업하기도 좋은 분위기에요",2025-03-09
4,4.4,직장동료분들과 점심식사 이후에 근처라서 방문해보았어요 점심시간이 짧아서 오래 머무르지는 못했지만 카페 이름처럼 고즈넉하고 편안한 공간이였습니다.,2025-03-07
4,4.4,군자역 근처에 살아서 책 읽거나 작업할 때마다 방문하는데 분위기도 너무 좋고 디저트도 맛있어서 너무 좋습니다! 특히 치즈케이크가 정말 맛있어요 ㅎㅎ,2025-05-03
6,4.46,음료도 디저트도 고루고루 다 맛있는 곳! 공간이 넓어서 편하게 머물며 즐기기 좋은 카페에요~ 크로플 쫀득하니 좋고 마카롱 완전 맛나요!,2025-05-08
6,4.46,건국대학교 근처에 있는 대형 카페 에요. 카페 커서 친구 여러 명이 같이 와서 커피 마시고 카 공하기에도 좋아요.,2025-05-04
6,4.46,매장도 넓고 노트북으로 작업할 일이 있으면 자주 방문하는 곳이에요! 커피도 맛있고 디저트도 너무 맛있더라구요 특히 흑임자라떼 최고!!,2025-05-05
6,4.46,비 오는 날이라 야외석을 못 앉았는데 다음번에 가면 야외석을 앉아야겠어요 ! 쫀득쿠키 있는 곳이라 방문했는데 맛있었어요 ㅎ ㅎ,2025-05-01
6,4.46,평화로운 감성이 너무 좋네요. 주말에 왔는데 오기 딱 좋은 감성이에요. 디저트도 너무 맛있고 음료도 다양해서 고르는 재미도 있고 앉을 자리도 많아서 좋습니다,2025-04-27
7,4.82,건대 어린이대공원 인근 최고로 분위기 좋은 카페에요 위스키도 팔아서 밤에 혼술하기 너무 좋네요,2025-05-03
7,4.82,"가장 좋아하는 공간 중 한 곳입니다! 조용한 분위기에, 음악 선곡이 최고고 센스있는 인테리어까지 최고입니다.",2025-04-26
7,4.82,분위기와 음악이 너무 좋고 혼자오거나 데이트하기도 좋은 카페에요 다음에 또 방문하고 싶어요!!,2025-05-09
7,4.82,카공하려고 왔다가 분위기도 너무좋고 인테리어도 좋고 디저트랑 커피까지 맛있어서 반하고 가요..!♥,2025-04-09
7,4.82,분위기가 좋아서 자주오게 되는 곳이에요 :-) 사장님이 직접그리신 작품도 감상하고 감각적인 인테리어와 음악에 혼자와서 시간보내기가 좋아요!,2025-01-01
7,4.82,여기 분위기 맛집이예요 주차도 편리하고 음악도 같이 나오니까 더 분위기 좋아요,2025-04-28
8,4.72,역시 괜히 라떼아트 챔피언이 아닙니다. 모든 메뉴가 손수 만드셔서 그런지 타 카페에서 먹던 맛이 전혀 아니에요!,2025-04-13
8,4.72,잘생긴 라떼 장인 사장님이 하는 로프 커피 라떼와 아이스크림 크로플 꼭 먹어야하는 메뉴,2025-04-11
8,4.72,친구 추천으로 왔는데 와아!! 라떼아트 국가대표님이 만들어주신 코알라 라떼! 이뻐서 마시기 너무 아쉬웠어용,2024-12-29
8,4.72,자유에이드!진짜너무맛있어요 꼭 드셔보세요~ 자두+유자 에이드인데 다른카페에서는 못마셔본맛이에요!!,2025-04-13
8,4.72,속상한일이 있었는데 자유에이드 한모금에 마음이 싹 씻겨내려가는것 같았어요.,2025-04-04
8,4.72,카페라떼 맛있습니다. 커피의 쓴맛과 우유맛의 밸런스가 좋습니다. 사장님이 경연대회서 상도 타신분이더라고요. 카페분위기도 좋고.,2025-02-13
9,4.88,디저트도 커피도 무지 맛있고 원두 고를 수 있는 것도 좋아요. 특히나 핸드드립은 원두 향이 너무 좋네요 ㅎㅎ,2025-04-20
9,4.88,느낌 좋은 카페에요. 테이크아웃해서 어린이대공원 피크닉 가는데 시간만 있으면 이 공간에도 머물고 싶네요.,2025-04-23
9,4.88,찾아서 온 카페인데 너무 분위기고 좋고 맛있는게 많아요 ㅎㅎ넘 좋네요! 디저투랑 커피도 넘 맛있구 브렛커피 넘 괜찮아요! 또올래용,2025-04-19
9,4.88,"학교 주변에 있는 카페라 처음 와보는데, 분위기도 너무 좋고 커피도 진짜 맛있어요",2025-04-19
9,4.88,근처에 볼 일이있어 서치하다 찾았는데 메뉴 종류도 많고 분위기도 좋고 아는 분들은 다들 아시는 곳인 듯 합니다,2025-03-29
9,4.88,바람이 넘 많이 불어서 근처 카페찾다가 평점 좋아서 왔는데 디저트 넘 맛있고 커피도 부드러워요~~ 리뷰가 좋은 이유가 있어요!!!!,2025-05-04
10,4.76,인테리어 너무 예쁘고 디저트가 맛있어요.,2025-03-05
10,4.76,애드앤드는 단호박 케이크가 늘 최고예요! 단호박 케이크만 먹다가 이번에 애플파이를 처음으로 먹었는데 맛있어용. 시나몬 향이 솔솔 납니다.,2024-09-23
10,4.76,분위기 좋고 음료가 맛있는 카페입니다.,2025-01-31
